Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,ExperimentIdx,Mean [us],Error [us],StdDev [us],Scaled,ScaledSD,Gen 0,Allocated [KB]
'C# safe',Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,0.5387,0.0030,0.0025,1.00,0.00,0.0019,0.21
'C# unsafe1',Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,0.3581,0.0011,0.0010,0.66,0.00,-,0
'C# unsafe2',Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,0.3311,0.0023,0.0020,0.61,0.00,-,0
'Native C: dummy call',Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,0.0851,0.0004,0.0004,0.16,0.00,-,0
'Native C',Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,0.4758,0.0031,0.0027,0.88,0.01,-,0
'F# imperative',Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,0.9010,0.0031,0.0029,1.67,0.01,0.0068,0.63
'F# functional',Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,1.0611,0.0144,0.0134,1.97,0.03,0.0131,1.19
'C# safe',Core,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,0.5416,0.0063,0.0059,1.00,0.00,0.0505,0.21
'C# unsafe1',Core,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,0.3636,0.0032,0.0030,0.67,0.01,-,0
'C# unsafe2',Core,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,0.3359,0.0066,0.0071,0.62,0.01,-,0
'Native C: dummy call',Core,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,0.0846,0.0006,0.0006,0.16,0.00,-,0
'Native C',Core,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,0.4738,0.0042,0.0040,0.87,0.01,-,0
'F# imperative',Core,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,0.8970,0.0053,0.0050,1.66,0.02,0.1535,0.63
'F# functional',Core,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0,1.0624,0.0070,0.0066,1.96,0.02,0.2880,1.19
'C# safe',Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,11.9796,0.1028,0.0962,1.00,0.00,-,0.61
'C# unsafe1',Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,9.2940,0.0628,0.0587,0.78,0.01,-,0
'C# unsafe2',Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,7.3881,0.0428,0.0401,0.62,0.01,-,0
'Native C: dummy call',Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,0.1535,0.0015,0.0013,0.01,0.00,-,0
'Native C',Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1,6.1066,0.0564,0.0528,0.51,0.01,-,0
